ID,Quote,Author,Submitted_By
1,The purpose of our lives is to be happy.,  Dalai Lama ,Anu
2,Life is what happens when you're busy making other plans. , John Lennon ,Anu
3,Get busy living or get busy dying. , Stephen King  ,Anu
4,"You only live once, but if you do it right once is enough", Mae West  ,Anu
5,"If you want to live a happy life tie it to a goal,  not to people or things. ",Albert Einstein,Anu
7,Never let the fear of striking out keep you from playing the game. , Babe Ruth,Anu
9,Money and success don’t change people they merely amplify what is already there. , Will Smith,Anu
11,Your time is limited so don’t waste it living someone else’s life. , Steve Jobs,Anu
12,"If you want a rainbow, you gotta put up with the rain",Dolly Parton,Anu
13,"“Not how long,  but how well you have lived is the main thing.” ", Seneca,Anu
14,"“If life were predictable it would cease to be life, and be without flavour"".",  Eleanor Roosevelt,Anu
15,"“The whole secret of a successful life is to find out what is one’s destiny to do and then do it.""",  Henry Ford,Anu
16,“In order to write about life first you must live it.”, Ernest Hemingway,Anu
17," “Everything negative – pressure, challenges – is all an opportunity for me to rise.” ", Kobe Bryant,Anu
18,  “I like criticism. It makes you strong.” , LeBron James,Anu
19,  “You never really learn much from hearing yourself speak.” , George Clooney,Anu
20,"  “Life imposes things on you that you can’t control, but you still have the choice of how you’re going to live through this.” ", Celine Dion,Anu
21,"  “Life is never easy. There is work to be done and obligations to be met – obligations to truth, to justice, and to liberty.” ", John F. Kennedy ,Anu
22,  “Live for each second without hesitation.” , Elton John,Anu
23,"  “Life is like riding a bicycle. To keep your balance, you must keep moving.” ", Albert Einstein,Anu
24,"“Life is really simple, but men insist on making it complicated.” ", Confucius,Anu
25,"“Health is the greatest gift, contentment the greatest wealth, faithfulness the best relationship.” ", Buddha,Anu
